蓦	蓦 驀
鹋	鹋 鶓
腼	腼 靦
谩	谩 謾
镁	镁 鎂
麽	麽 么
鹛	鹛 鶥
缦	缦 縵
缪	缪 繆
颟	颟 顢
螨	螨 蟎
镘	镘 鏝
懑	懑 懣
嬷	嬷 嬤
鳗	鳗 鰻
杩	杩 榪
芈	芈 羋
祃	祃 禡
钔	钔 鍆
祕	祕 秘
湣	湣 愍
愍	愍 湣
镅	镅 鎇
镆	镆 鏌
鹲	鹲 鸏
鳘	鳘 鰵
乃	乃 廼 迺
内	内 內
鸟	鸟 鳥
宁	宁 寧
奶	奶 嬭
农	农 農
拟	拟 擬
纳	纳 納
纽	纽 紐
拧	拧 擰
念	念 唸
狞	狞 獰
疟	疟 瘧
闹	闹 鬧
泞	泞 濘
挠	挠 撓
柠	柠 檸
钠	钠 鈉
钮	钮 鈕
浓	浓 濃
恼	恼 惱
聂	聂 聶
脑	脑 腦
脓	脓 膿
馁	馁 餒
诺	诺 諾
难	难 難
捻	捻 撚
暖	暖 煖
腻	腻 膩
酿	酿 釀
撵	撵 攆
讷	讷 訥
茑	茑 蔦
咛	咛 嚀
钕	钕 釹
侬	侬 儂
驽	驽 駑
哝	哝 噥
铌	铌 鈮
袅	袅 裊
啮	啮 嚙
铙	铙 鐃
秾	秾 穠
辇	辇 輦
蛲	蛲 蟯
傩	傩 儺
嗫	嗫 囁
鲇	鲇 鮎
镊	镊 鑷
镍	镍 鎳
颞	颞 顳
鲵	鲵 鯢
蹑	蹑 躡
馕	馕 饢
垴	垴 堖
迺	迺 乃
陧	陧 隉
聍	聍 聹
锘	锘 鍩
镎	镎 鎿
呕	呕 嘔
欧	欧 歐
殴	殴 毆
鸥	鸥 鷗
讴	讴 謳
沤	沤 漚
怄	怄 慪
瓯	瓯 甌
仆	仆 僕
扑	扑 撲
朴	朴 樸
抛	抛 拋
评	评 評
苹	苹 蘋
凭	凭 憑
佩	佩 珮
贫	贫 貧
庞	庞 龐
泼	泼 潑
炮	炮 砲
盘	盘 盤
颇	颇 頗
喷	喷 噴
赔	赔 賠
铺	铺 鋪
骗	骗 騙
频	频 頻
鹏	鹏 鵬
谱	谱 譜
飘	飘 飄
爿	爿 丬
钋	钋 釙
彷	彷 徬
纰	纰 紕
狍	狍 麅
骈	骈 駢
铍	铍 鈹
疱	疱 皰
谝	谝 諞
鲆	鲆 鮃
嫔	嫔 嬪
辔	辔 轡
罴	罴 羆
骠	骠 驃
缥	缥 縹
蹒	蹒 蹣
颦	颦 顰
钷	钷 鉕
酦	酦 醱
锫	锫 錇
鲏	鲏 鮍
镤	镤 鏷
镨	镨 鐠
鳑	鳑 鰟
千	千 韆
区	区 區
气	气 氣
劝	劝 勸
权	权 權
曲	曲 麯
岂	岂 豈
迁	迁 遷
乔	乔 喬
庆	庆 慶
齐	齐 齊
